|Título apartamento|Preço do apartamento|Quantidade de quarto|Area do apartamento|Taxa do condomínio|Vagas de garagem|Endereco do apartamento|Quantidade de suítes|Quantidade de banheiro
70|Apartamento para venda tem 282 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 1.400.000|3 quartos|282m²|R$ 3.000|4 vagas|Natal, Tirol | |4
71|Apartamento para venda possui 65 metros quadrados com 2 quartos em Tirol - Natal - RN|R$ 380.000|2 quartos|65m²|R$ 385|1 vaga|Natal, Tirol | |1
72|Apartamento para venda com 92 metros quadrados com 2 quartos em Neópolis - Natal - RN|R$ 450.000|2 quartos|92m²|R$ 495|2 vagas|Natal, Neópolis | |2
73|Apartamento para venda possui 53 metros quadrados com 2 quartos em Pitimbu - Natal - RN|R$ 99.800.000|2 quartos|53m²|R$ 0|1 vaga|Natal, Pitimbu | |1
74|Apartamento para venda tem 56 metros quadrados com 2 quartos em Capim Macio - Natal - RN|R$ 330.000|2 quartos|56m²|R$ 300|1 vaga|Natal, Capim Macio | |1
75|Apartamento para venda tem 96 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 460.000|3 quartos|96m²|R$ 847|2 vagas|Natal, Tirol | |2
76|Apartamento para venda possui 94 metros quadrados com 3 quartos em Ponta Negra - Natal - R|R$ 750.000|3 quartos|94m²|R$ 742|2 vagas|Natal, Ponta Negra | |2
77|Apartamento para venda possui 56 metros quadrados com 2 quartos em Ponta Negra - Natal - R|R$ 290.000|2 quartos|56m²|R$ 363|1 vaga|Natal, Ponta Negra | |1
78|Apartamento para venda tem 87m²  com 3/4 COM MOVEIS PROJETADOS em Candelária - Natal - RN|R$ 485.000|3 quartos|87m²|R$ 500|2 vagas|Natal, Candelária | |2
79|Apartamento para venda possui 160 metros quadrados com 3 quartos em Lagoa Nova - Natal - R|R$ 1.090.000|3 quartos|160m²|R$ 750|3 vagas|Natal, Lagoa Nova | |3
80|Apartamento para venda possui 54 metros quadrados com 2 quartos em Lagoa Nova - Natal - RN|R$ 240.000|2 quartos|54m²|R$ 640|1 vaga|Natal, Lagoa Nova | |1
81|Apartamento para venda com 157 metros quadrados com 4 quartos em Tirol - Natal - Rio Grand|R$ 1.200.000|4 quartos|157m²|R$ 900|3 vagas|Natal, Tirol | |3
82| | | | | | | | | 
83|Apartamento para venda Sun River, 75m², com 3 quartos em Ribeira - Natal|R$ 365.000|3 quartos|75m²|R$ 403|2 vagas|Natal, Ribeira | |2
84|Apartamento para venda tem 54 metros quadrados com 2 quartos em Dix-Sept Rosado - Natal - |R$ 160.000|2 quartos|54m²|R$ 360|1 vaga|Natal, Dix-Sept Rosado | |1
85|Apartamento para venda tem 85 metros quadrados com 3 quartos em Capim Macio - Natal - RN|R$ 655.000|3 quartos|85m²|R$ 0|2 vagas|Natal, Capim Macio | |2
86|Apartamento para venda possui 350 metros quadrados com 4 quartos em Tirol - Natal - RN|R$ 2.300.000|4 quartos|350m²|R$ 2.000|4 vagas|Natal, Tirol | |4
87|Apartamento para venda com 125 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 380.000|3 quartos|125m²|R$ 0|2 vagas|Natal, Tirol | |2
